Timestamp,Temperature (°C),Humidity (%)
2024-08-10 08:57:24,26.4,53.4
2024-08-10 08:59:25,26.4,53.28
2024-08-10 09:01:25,26.4,53.08
2024-08-10 09:03:25,26.4,53.04
2024-08-10 09:05:26,26.4,52.94
2024-08-10 09:07:26,26.4,52.9
2024-08-10 09:09:27,26.4,52.79
2024-08-10 09:11:27,26.4,52.72
2024-08-10 09:13:27,26.4,52.5
2024-08-10 09:15:28,26.4,52.45
2024-08-10 09:17:28,26.4,52.4
2024-08-10 09:19:28,26.4,52.35
2024-08-10 09:21:29,26.4,52.45
2024-08-10 09:23:29,26.4,52.5
2024-08-10 09:25:29,26.46,52.96
2024-08-10 09:27:30,26.5,53.45
2024-08-10 09:29:30,26.6,53.6
2024-08-10 09:31:31,26.6,53.6
2024-08-10 09:33:31,26.6,53.66
2024-08-10 09:35:31,26.6,53.7
2024-08-10 09:37:32,26.6,53.66
2024-08-10 09:39:32,26.6,53.65
2024-08-10 09:41:32,26.6,53.75
2024-08-10 09:43:33,26.6,53.8
2024-08-10 09:45:33,26.63,53.78
2024-08-10 09:47:33,26.6,53.7
2024-08-10 09:49:34,26.6,53.65
2024-08-10 09:51:34,26.6,53.7
2024-08-10 09:53:35,26.6,53.8
2024-08-10 09:55:35,26.6,53.82
