Timestamp,Temperature (°C),Humidity (%)
2024-08-09 15:53:55,27.3,55.46
2024-08-09 15:55:55,27.33,55.4
2024-08-09 15:57:55,27.4,55.63
2024-08-09 15:59:56,27.5,55.52
2024-08-09 16:01:56,27.54,55.37
2024-08-09 16:03:57,27.6,55.26
2024-08-09 16:05:57,27.67,55.15
2024-08-09 16:07:57,27.7,55.1
2024-08-09 16:09:58,27.7,55.04
2024-08-09 16:11:58,27.74,55.03
2024-08-09 16:13:59,27.7,55.0
2024-08-09 16:15:59,27.76,55.0
2024-08-09 16:17:59,27.8,55.07
2024-08-09 16:20:00,27.8,55.13
2024-08-09 16:22:00,27.8,55.2
2024-08-09 16:24:01,27.8,55.2
2024-08-09 16:26:01,27.8,55.15
2024-08-09 16:28:01,27.8,55.16
2024-08-09 16:30:02,27.8,55.2
2024-08-09 16:32:02,27.8,55.17
2024-08-09 16:34:02,27.8,55.2
2024-08-09 16:36:03,27.8,55.25
2024-08-09 16:38:03,27.8,55.24
2024-08-09 16:40:03,27.76,55.41
2024-08-09 16:42:04,27.7,55.6
2024-08-09 16:44:04,27.7,55.74
2024-08-09 16:46:05,27.7,56.03
2024-08-09 16:48:05,27.6,56.34
2024-08-09 16:50:05,27.54,56.62
2024-08-09 16:52:06,27.5,57.01
